[rosmaster.master][INFO] 2016-08-11 14:15:53,564: -SUB [/joint_states] /rostopic_10383_1470921346923 http://SMB303B:42422/
[rosmaster.master][INFO] 2016-08-11 14:15:53,564: -PUB [/rosout] /rostopic_10383_1470921346923 http://SMB303B:42422/
[rosmaster.master][INFO] 2016-08-11 14:15:53,564: -SERVICE [/rostopic_10383_1470921346923/set_logger_level] /rostopic_10383_1470921346923 rosrpc://SMB303B:46237
[rosmaster.master][INFO] 2016-08-11 14:15:53,564: -SERVICE [/rostopic_10383_1470921346923/get_loggers] /rostopic_10383_1470921346923 rosrpc://SMB303B:46237
[rosmaster.master][INFO] 2016-08-11 14:15:53,600: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:16:08,637: +PUB [/rosout] /rostopic_10418_1470921368503 http://SMB303B:41088/
[rosmaster.master][INFO] 2016-08-11 14:16:08,641: +SERVICE [/rostopic_10418_1470921368503/get_loggers] /rostopic_10418_1470921368503 http://SMB303B:41088/
[rosmaster.master][INFO] 2016-08-11 14:16:08,642: +SERVICE [/rostopic_10418_1470921368503/set_logger_level] /rostopic_10418_1470921368503 http://SMB303B:41088/
[rosmaster.master][INFO] 2016-08-11 14:16:08,649: +SUB [/diagnostics] /rostopic_10418_1470921368503 http://SMB303B:41088/
[rosmaster.master][INFO] 2016-08-11 14:16:08,721: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:16:12,524: -SUB [/diagnostics] /rostopic_10418_1470921368503 http://SMB303B:41088/
[rosmaster.master][INFO] 2016-08-11 14:16:12,524: -PUB [/rosout] /rostopic_10418_1470921368503 http://SMB303B:41088/
[rosmaster.master][INFO] 2016-08-11 14:16:12,525: -SERVICE [/rostopic_10418_1470921368503/set_logger_level] /rostopic_10418_1470921368503 rosrpc://SMB303B:46183
[rosmaster.master][INFO] 2016-08-11 14:16:12,525: -SERVICE [/rostopic_10418_1470921368503/get_loggers] /rostopic_10418_1470921368503 rosrpc://SMB303B:46183
[rosmaster.master][INFO] 2016-08-11 14:16:12,526: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:16:29,435: +PUB [/rosout] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:29,439: +SERVICE [/controllerGUI/get_loggers] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:29,441: +SERVICE [/controllerGUI/set_logger_level] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:29,450: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:16:29,491: +PUB [/cmd_vel] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:29,498: +SUB [/joint_states] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:50,770: -SUB [/joint_states] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:50,770: -PUB [/rosout] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:50,770: -PUB [/cmd_vel] /controllerGUI http://SMB303B:38143/
[rosmaster.master][INFO] 2016-08-11 14:16:50,770: -SERVICE [/controllerGUI/get_loggers] /controllerGUI rosrpc://SMB303B:35801
[rosmaster.master][INFO] 2016-08-11 14:16:50,770: -SERVICE [/controllerGUI/set_logger_level] /controllerGUI rosrpc://SMB303B:35801
[rosmaster.master][INFO] 2016-08-11 14:16:50,779: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:29:06,224: -PUB [/rosout_agg] /rosout http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:29:06,225: -SUB [/rosout] /rosout http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:29:06,225: -SERVICE [/rosout/get_loggers] /rosout rosrpc://SMB303B:34618
[rosmaster.master][INFO] 2016-08-11 14:29:06,226: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://SMB303B:34618
[rosmaster.main][INFO] 2016-08-11 14:29:06,290: keyboard interrupt, will exit
[rosmaster.main][INFO] 2016-08-11 14:29:06,290: stopping master...
[rospy.core][INFO] 2016-08-11 14:29:06,291: signal_shutdown [atexit]
